Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Payload Data,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,Cluster,Distance
2023-08-25 23:32:10,190.176.32.7,52.212.228.74,65432,63233,TCP,462,Control,DNS,"Minima sapiente dignissimos cumque illum assumenda nulla ullam. Molestias nostrum pariatur quam.
Tempora quos odit beatae minima quos quis cupiditate. Voluptate consequuntur mollitia expedita quo.",,0.35,Alert Triggered,Malware,Known Pattern A,Ignored,High,Veer Ravi,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/3.1),Segment A,"Korba, Tripura",155.25.247.50,,Alert Data,Firewall,2,2.2546414024832044
2022-12-31 06:37:45,84.117.173.90,101.84.227.218,6125,3567,UDP,505,Control,HTTP,Vitae quos velit aspernatur. Mollitia ipsum soluta accusantium. Voluptas repellat modi nulla ducimus error placeat.,,13.5,Alert Triggered,Malware,Known Pattern A,Logged,Medium,Romil Kannan,Opera/9.16.(X11; Linux i686; am-ET) Presto/2.9.176 Version/12.00,Segment C,"Bathinda, Tamil Nadu",182.205.28.232,,Alert Data,Firewall,0,2.137028559974677
2023-03-30 05:12:55,122.177.137.100,86.170.39.119,61029,59899,TCP,247,Data,FTP,Aut sint fuga necessitatibus assumenda explicabo. Odio laboriosam ex fugit suscipit a aperiam. Esse iste possimus accusantium.,,21.59,Alert Triggered,DDoS,Known Pattern A,Ignored,Low,Parinaaz Dubey,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; tr-TR) AppleWebKit/534.46.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6534.46.3",Segment A,"Bhavnagar, Mizoram",,,,Server,1,2.1434183519615555
2023-05-12 14:59:07,100.23.162.27,214.12.118.207,64933,54151,ICMP,164,Control,FTP,Ullam neque nulla architecto officiis corporis. Amet optio ab odio ullam repellendus porro. Consequuntur natus fugit incidunt repellendus doloribus blanditiis nisi.,IoC Detected,91.64,Alert Triggered,Intrusion,Known Pattern B,Ignored,Low,Parinaaz Din,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/4.0),Segment A,"Haridwar, Nagaland",,,Alert Data,Firewall,1,2.1515994137163728
2022-02-15 02:57:13,42.48.234.88,109.51.110.198,65411,1533,ICMP,305,Control,HTTP,Quae est voluptatibus velit. Fuga perspiciatis quod dolorum ipsum.,IoC Detected,83.51,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Trisha Sabharwal,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/25.0.816.0 Safari/531.2",Segment B,"Akola, Andhra Pradesh",,Log Data,Alert Data,Firewall,1,2.4728732228157204
2020-05-08 04:54:15,188.49.179.236,141.71.151.0,2516,65052,ICMP,481,Control,FTP,Officiis architecto vitae aspernatur earum impedit. Porro corporis tempora nemo. Distinctio sit debitis porro ipsam consectetur occaecati.,,40.57,Alert Triggered,DDoS,Known Pattern B,Blocked,Low,Raunak Dugar,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/533.7.2 (KHTML, like Gecko) Version/4.1 Safari/533.7.2",Segment C,"Bangalore, Andhra Pradesh",28.163.124.246,,Alert Data,Server,0,2.336029500574293
2021-04-18 17:46:53,11.9.156.69,189.111.93.203,62014,64630,UDP,502,Data,FTP,"Quo nobis repellat numquam. Aliquam ipsa dolore illo. Enim eum odit repellendus ad.
Aliquid pariatur eius repudiandae quidem.",IoC Detected,13.62,,Malware,Known Pattern A,Logged,Low,Yuvaan Dutt,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/4.1),Segment A,"Shimoga, Tamil Nadu",42.224.6.176,Log Data,Alert Data,Server,2,2.1938066010894444
2021-11-02 16:41:37,141.86.246.10,58.77.102.23,1796,64777,ICMP,536,Data,HTTP,"Aperiam dignissimos facere. Modi at explicabo. Dolorem alias aut consequuntur dolore minus ducimus.
Voluptas impedit corporis placeat.",,85.3,,Intrusion,Known Pattern B,Ignored,Medium,Faiyaz Dey,Opera/9.14.(X11; Linux x86_64; ig-NG) Presto/2.9.181 Version/12.00,Segment A,"Bikaner, Kerala",,,,Server,0,2.2613070281479337
2022-11-27 20:03:34,43.123.168.60,117.114.76.113,3182,1772,TCP,108,Control,HTTP,Aut eaque officia aspernatur facilis voluptas quos. Itaque explicabo tempora eligendi libero corporis. Corrupti incidunt impedit placeat nisi dicta nisi doloremque.,,72.26,Alert Triggered,DDoS,Known Pattern A,Logged,Medium,Dhanuk Desai,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1; rv:1.9.5.20) Gecko/4604-11-12 13:49:08 Firefox/13.0,Segment C,"Karawal Nagar, Chhattisgarh",,Log Data,,Firewall,1,2.359526302496973
2022-03-20 09:48:44,200.53.114.86,25.74.4.230,1811,58426,ICMP,203,Control,DNS,"Consectetur consequuntur voluptatem. Voluptatem blanditiis quisquam ut velit.
Eveniet dignissimos deserunt iste. Quod voluptatum modi molestiae.",,47.51,Alert Triggered,Malware,Known Pattern B,Blocked,High,Nitara Arora,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/37.0.829.0 Safari/532.2",Segment B,"Darbhanga, Bihar",137.119.89.63,,,Server,1,2.1542055889237766
2020-12-04 04:11:38,41.132.12.15,182.77.149.24,4756,4144,ICMP,179,Control,HTTP,"Est vitae corporis et. Dignissimos fuga minus adipisci eaque.
Eaque praesentium eligendi eum occaecati. Nostrum a nemo sit laborum reprehenderit doloremque iure.",IoC Detected,53.92,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Manikya Varma,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; gez-ER) AppleWebKit/533.28.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6533.28.2",Segment C,"Ozhukarai, Manipur",,Log Data,,Firewall,1,2.175400450089811
2020-08-23 11:52:41,7.61.251.229,180.23.30.136,61807,59152,UDP,389,Control,DNS,"Accusantium quae consectetur praesentium animi doloribus quod. Dolorem consequatur officia architecto id.
Aliquid cumque totam eaque quae earum cumque. Quisquam nemo velit magni.",IoC Detected,76.02,Alert Triggered,DDoS,Known Pattern A,Ignored,Low,Zain Keer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/3.0),Segment B,"Kumbakonam, Assam",1.169.225.255,,Alert Data,Server,1,2.13717605673713
2023-02-23 19:00:10,55.62.231.192,34.115.18.228,64069,64495,UDP,407,Control,DNS,Atque delectus iure ut error tempore. Quo recusandae suscipit omnis maxime qui quis. Maiores voluptatibus eum non illo.,,82.37,,Intrusion,Known Pattern B,Logged,Low,Ayesha Magar,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/45.0.805.0 Safari/535.2",Segment B,"Bharatpur, Mizoram",67.166.180.71,,,Server,2,2.360582997891017
2022-07-18 04:42:12,10.178.115.47,106.120.216.248,7958,65195,TCP,189,Control,HTTP,Doloremque vitae animi sed accusantium. Itaque recusandae eos ducimus nihil architecto. Deleniti magni non illo maiores. Laudantium vero accusantium rem vel ducimus.,IoC Detected,5.08,Alert Triggered,Malware,Known Pattern A,Logged,Medium,Azad Goswami,Opera/8.96.(X11; Linux i686; sr-RS) Presto/2.9.183 Version/11.00,Segment A,"Gulbarga, Punjab",72.130.172.171,Log Data,,Server,1,2.1969245985987715
2022-06-11 19:58:35,166.120.144.130,212.85.148.202,59211,3056,ICMP,457,Data,FTP,Necessitatibus distinctio magnam labore neque in harum natus. Beatae ex dolorem.,,41.73,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Nayantara Keer,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; bg-BG) AppleWebKit/535.16.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6535.16.1",Segment B,"Vijayawada, Arunachal Pradesh",,,,Server,1,2.1947100415534386
2022-07-26 23:17:24,208.21.153.163,25.66.217.239,61448,64978,UDP,97,Data,HTTP,Provident vel saepe voluptatibus. Non officiis autem qui voluptatem consectetur tempore id. In ducimus earum expedita ad animi vitae.,,55.75,,Malware,Known Pattern B,Logged,Low,Alia Hari,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/32.0.887.0 Safari/534.2",Segment A,"Siwan, Telangana",,,,Firewall,1,2.4149879015917786
2021-03-07 09:53:12,6.55.202.148,73.146.157.243,59899,62090,UDP,420,Control,FTP,Aperiam velit velit facere et consequatur. Fugiat quos voluptates nam.,IoC Detected,99.76,,Malware,Known Pattern B,Blocked,High,Alia Hans,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; th-TH) AppleWebKit/532.31.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6532.31.7",Segment C,"Jaipur, Telangana",,Log Data,,Firewall,1,2.177112958305375
2021-06-17 03:31:19,191.50.9.201,137.29.39.225,61404,3649,TCP,173,Data,FTP,Earum doloremque quidem natus expedita autem. Labore dolorum corrupti explicabo animi. Occaecati ut accusamus ipsum fugiat laborum culpa ex.,IoC Detected,86.83,,DDoS,Known Pattern B,Logged,Low,Nehmat Sachdev,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_6 rv:4.0; sw-TZ) AppleWebKit/534.40.2 (KHTML, like Gecko) Version/5.0 Safari/534.40.2",Segment B,"Bhagalpur, Jharkhand",,,,Firewall,1,2.2746429841173508
2021-01-24 06:09:01,197.221.64.110,136.103.6.91,63440,6879,UDP,193,Control,FTP,"Iusto consectetur fuga possimus. Aliquid dignissimos culpa in dolore.
Autem quod aperiam aspernatur at. Nam nostrum harum omnis nam quibusdam blanditiis. Cumque occaecati in ratione.",,17.61,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Taimur Dey,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/3.1),Segment A,"Satara, Uttar Pradesh",159.19.195.16,Log Data,,Server,1,2.230791260647778
2021-03-29 19:23:56,65.111.136.108,121.97.130.31,3372,5080,ICMP,357,Data,DNS,"Doloribus minus commodi ab maxime hic atque porro. Inventore recusandae quidem reprehenderit.
Facere corrupti minus quisquam fuga. Beatae deserunt itaque nulla quisquam soluta possimus.",IoC Detected,30.94,,Intrusion,Known Pattern A,Blocked,Low,Aaryahi Dubey,Opera/9.97.(X11; Linux x86_64; nds-DE) Presto/2.9.178 Version/12.00,Segment B,"Panvel, Telangana",,,,Firewall,1,2.1550482746679425
2023-07-24 11:26:52,196.118.109.191,10.107.78.195,64687,65070,UDP,529,Control,DNS,Voluptatem nesciunt veritatis. Dignissimos dolorum facere harum dolorum autem rerum nulla. Ratione neque accusantium architecto. Numquam accusamus rem reiciendis aliquid amet deserunt.,IoC Detected,6.27,Alert Triggered,DDoS,Known Pattern A,Logged,Medium,Heer Hegde,Mozilla/5.0 (Android 4.3.1; Mobile; rv:54.0) Gecko/54.0 Firefox/54.0,Segment A,"Guna, Jharkhand",,Log Data,,Firewall,2,2.2205847386763033
2020-12-17 06:30:02,171.66.2.118,135.226.41.81,57573,3658,TCP,150,Control,HTTP,Vel eos ullam tenetur ipsam. Dicta excepturi quasi eos. A minus explicabo occaecati.,IoC Detected,70.99,Alert Triggered,Malware,Known Pattern A,Logged,High,Damini Sundaram,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_9) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/14.0.853.0 Safari/532.2",Segment C,"Muzaffarpur, West Bengal",91.77.110.90,,Alert Data,Firewall,1,2.1472031889865906
2022-09-14 19:29:34,64.18.101.214,174.167.222.168,1792,63180,ICMP,453,Data,FTP,Ut modi quasi eligendi. Consectetur voluptates cumque alias quam magnam. Saepe quisquam asperiores eligendi itaque.,IoC Detected,19.22,,Intrusion,Known Pattern A,Logged,Medium,Lakshit Lad,Mozilla/5.0 (Windows NT 4.0; fy-DE; rv:1.9.1.20) Gecko/2529-01-16 20:16:22 Firefox/12.0,Segment B,"Bihar Sharif, Punjab",,Log Data,,Server,1,2.3152532864825175
2023-03-06 08:16:00,146.86.37.75,87.154.89.187,61711,64927,ICMP,210,Control,DNS,Repellendus illum illum alias. Voluptate tempore laborum delectus aut rem tempore. Architecto neque placeat molestiae sint sint sapiente debitis.,,0.93,,DDoS,Known Pattern A,Logged,Medium,Ira Sahni,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/3.1),Segment A,"Madanapalle, Nagaland",,Log Data,,Firewall,1,2.3701365139208024
2023-07-05 04:36:56,105.79.146.63,87.114.242.118,58794,65416,UDP,148,Control,FTP,Animi eveniet incidunt quae. Dolorum sapiente dolorem eveniet commodi. Fugiat explicabo explicabo vitae voluptatum.,IoC Detected,95.88,Alert Triggered,Intrusion,Known Pattern A,Ignored,High,Piya Mani,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.32.2 (KHTML, like Gecko) Version/5.0.3 Safari/535.32.2",Segment A,"Bhimavaram, Chhattisgarh",115.36.10.190,Log Data,Alert Data,Firewall,1,2.3129592407295974
2022-01-14 14:34:35,133.216.66.110,109.21.61.49,3866,2260,TCP,147,Control,DNS,"Iste nemo voluptate molestiae est. Ipsam perferendis odio in eius aliquid unde impedit.
Architecto illum nulla nesciunt iure quo. Laboriosam vel iure dolores ipsa debitis aliquam.",,31.22,Alert Triggered,Intrusion,Known Pattern B,Logged,Medium,Arnav Divan,Opera/9.30.(X11; Linux x86_64; mi-NZ) Presto/2.9.189 Version/12.00,Segment B,"Shimoga, Tripura",,Log Data,,Firewall,1,2.2953024428226194
2022-02-22 05:51:40,116.242.238.91,47.97.163.184,63434,5559,UDP,151,Control,HTTP,Non laboriosam doloribus animi. Aliquid tenetur harum molestiae eum nam autem. Ex doloremque sunt.,,26.42,Alert Triggered,Malware,Known Pattern A,Logged,Medium,Ivan Gour,"Mozilla/5.0 (Linux; Android 2.2.1) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/26.0.841.0 Safari/532.2",Segment C,"Jammu, Bihar",,,Alert Data,Firewall,1,2.294413969609605
2021-03-05 20:41:19,41.180.61.136,187.30.128.6,6473,64927,UDP,281,Data,HTTP,Incidunt magnam eius quasi labore quo praesentium. Facere possimus fugiat quibusdam. Tempore exercitationem quod expedita aliquam. Veniam eaque assumenda minima ad quia in.,IoC Detected,71.88,,Intrusion,Known Pattern B,Blocked,Low,Seher Singhal,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.0),Segment C,"Dindigul, Tripura",,,,Firewall,1,2.207587377219332
2020-03-19 09:14:33,114.121.41.100,218.131.163.98,61851,65240,ICMP,450,Control,DNS,"Eveniet at pariatur officiis doloremque temporibus.
Ipsum dolore sequi dolorum nam pariatur iste. Quam sunt accusamus veniam. Sit illum enim in magnam et.",IoC Detected,77.55,,Intrusion,Known Pattern B,Blocked,Low,Samiha Kale,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0),Segment B,"Ambarnath, Gujarat",,Log Data,,Server,2,2.2906783036209917
2020-03-11 10:54:06,66.218.45.142,88.21.76.11,64060,61437,UDP,274,Control,FTP,Veritatis quae nulla reiciendis odio voluptatem. Totam voluptates a dolorum occaecati. Aperiam nisi eligendi voluptatem. Facere unde eligendi ipsum dolorum provident occaecati.,,18.78,Alert Triggered,Malware,Known Pattern A,Logged,High,Priyansh Chandra,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/3.1),Segment B,"Amravati, Tripura",138.33.44.74,Log Data,,Firewall,1,2.313333034156722
2022-02-24 21:03:00,156.141.188.41,4.50.96.115,64238,63286,ICMP,209,Data,DNS,"Ipsum assumenda voluptas.
Iure nemo aliquid atque quas fuga. Adipisci quidem maiores molestiae autem quibusdam alias.",,73.69,,Malware,Known Pattern A,Logged,High,Darshit Sule,Opera/8.24.(X11; Linux x86_64; ko-KR) Presto/2.9.180 Version/10.00,Segment C,"Davanagere, Himachal Pradesh",,Log Data,Alert Data,Server,1,2.403596225881329
2023-01-11 08:21:47,182.180.19.118,10.88.169.100,4133,4575,ICMP,160,Data,HTTP,"Cumque rerum aspernatur praesentium nobis. Voluptatibus nihil laborum quas pariatur dolores sapiente ad.
Facere deleniti ipsam tempora veniam ipsam. Laborum maxime neque velit.",IoC Detected,82.76,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Advika Soni,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_1 rv:6.0; lij-IT) AppleWebKit/533.17.4 (KHTML, like Gecko) Version/5.0.5 Safari/533.17.4",Segment C,"Durgapur, Manipur",134.37.9.120,Log Data,,Firewall,1,2.19069445940354
2023-09-18 04:47:26,36.136.63.118,221.2.249.75,2539,63728,TCP,186,Control,DNS,Debitis a recusandae voluptatibus laudantium quaerat quam expedita. Eveniet quidem deserunt architecto magnam.,IoC Detected,8.01,Alert Triggered,DDoS,Known Pattern B,Ignored,Medium,Ayesha Butala,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/28.0.847.0 Safari/532.1",Segment B,"Ludhiana, Bihar",112.232.193.42,,Alert Data,Firewall,1,2.325276063782276
2021-11-11 18:38:03,218.120.253.54,163.66.72.9,60967,5223,ICMP,212,Data,FTP,Amet soluta veritatis recusandae quas corporis sapiente. Nemo ex cupiditate dolorum. Consectetur exercitationem eveniet similique.,IoC Detected,86.76,Alert Triggered,Intrusion,Known Pattern A,Ignored,Low,Riaan Sarma,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_6 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/62.0.872.0 Mobile/40J326 Safari/533.1",Segment B,"Gaya, West Bengal",,Log Data,,Firewall,1,2.1841604948112914
2022-08-28 13:23:34,209.234.203.110,93.204.1.81,5458,64381,TCP,502,Control,HTTP,"Doloremque tempora rerum saepe iure exercitationem laborum.
Non rerum placeat reprehenderit quis itaque. Rerum mollitia fugiat vero. Quod perferendis fugit rem.",IoC Detected,34.17,,Malware,Known Pattern B,Logged,Medium,Zain Agrawal,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) FxiOS/11.6e3986.0 Mobile/29K432 Safari/531.1",Segment A,"Raipur, Himachal Pradesh",155.99.198.218,Log Data,Alert Data,Firewall,0,2.2337464540041303
2023-04-01 04:59:23,113.123.227.173,197.120.207.70,62784,3076,ICMP,349,Data,HTTP,"Illum aspernatur iste quae temporibus.
Corrupti perferendis repudiandae a occaecati. Amet saepe molestiae sint dolore consequatur explicabo.",IoC Detected,65.3,Alert Triggered,Malware,Known Pattern B,Logged,Low,Gokul Kothari,"Mozilla/5.0 (iPad; CPU iPad OS 3_1_3 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/56.0.831.0 Mobile/47Q301 Safari/533.0",Segment C,"Chinsurah, Tamil Nadu",,,Alert Data,Firewall,1,2.311303814773618
2020-10-19 17:20:38,169.128.15.118,135.240.199.194,57312,2452,ICMP,81,Data,DNS,Perspiciatis tempora delectus unde ipsam et ipsa. Aliquam soluta sed aliquam optio. Libero nobis iste mollitia deleniti porro rerum.,IoC Detected,11.66,Alert Triggered,DDoS,Known Pattern B,Ignored,Low,Mohanlal Kadakia,Opera/9.23.(X11; Linux x86_64; raj-IN) Presto/2.9.182 Version/12.00,Segment A,"Madanapalle, Tamil Nadu",,,Alert Data,Firewall,1,2.2281088506831734
2020-09-01 23:19:23,43.29.88.234,118.184.55.136,65219,1669,UDP,577,Data,DNS,"Culpa corrupti aliquam error. Possimus asperiores ullam facere praesentium atque.
Similique vitae mollitia perspiciatis harum qui explicabo praesentium. Sint deleniti suscipit consequatur.",,93.6,,Intrusion,Known Pattern A,Ignored,Low,Purab Dhar,Mozilla/5.0 (Android 3.1; Mobile; rv:57.0) Gecko/57.0 Firefox/57.0,Segment A,"Mahbubnagar, Jharkhand",203.2.60.76,,Alert Data,Firewall,2,2.183771280695537
2022-09-11 02:56:21,113.78.23.229,133.9.133.170,7872,65011,TCP,232,Data,HTTP,"Illum sit explicabo. Consequuntur recusandae quidem aspernatur facilis laudantium.
Corporis facilis minus dolor molestias voluptatem sint nulla. Iusto iste odit unde.",IoC Detected,59.85,,Malware,Known Pattern B,Ignored,High,Tanya Kari,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/10.9c8841.0 Mobile/97C698 Safari/534.0",Segment B,"Kalyan-Dombivli, Karnataka",,,Alert Data,Server,1,2.176545800599989
2020-08-21 23:45:28,44.48.115.121,107.28.219.171,57357,61038,ICMP,72,Control,FTP,Facilis aliquid deleniti harum fugit vel asperiores quia. Autem accusantium nemo numquam.,,71.49,Alert Triggered,DDoS,Known Pattern A,Ignored,Low,Jivin Bhatnagar,Opera/8.66.(Windows NT 4.0; yue-HK) Presto/2.9.163 Version/12.00,Segment B,"Dehradun, Bihar",,,Alert Data,Server,1,2.138207900719116
2022-12-19 14:36:19,215.53.72.193,33.127.170.42,3727,63226,TCP,343,Control,FTP,Ducimus voluptatem labore tempora quae necessitatibus. Quaerat perferendis quod perspiciatis. Est possimus possimus.,IoC Detected,45.17,,Intrusion,Known Pattern A,Blocked,Medium,Lagan Dani,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_0) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/53.0.880.0 Safari/531.0",Segment C,"Jammu, Manipur",148.63.32.6,Log Data,,Server,1,2.2299195031006533
